team,no,name,birth,height,weight,throw,bat,position,note
広島東洋カープ,68,ハーン,1994.08.30,198,118,左,左,投手,
広島東洋カープ,70,日髙　暖己,2004.09.16,183,75,右,左,投手,
広島東洋カープ,98,辻　大雅,2004.08.29,182,88,左,左,投手,
広島東洋カープ,27,會澤　翼,1988.04.13,175,95,右,右,捕手,
広島東洋カープ,31,坂倉　将吾,1998.05.29,177,91,右,左,捕手,
広島東洋カープ,32,石原　貴規,1998.02.03,173,88,右,右,捕手,
広島東洋カープ,57,持丸　泰輝,2001.10.26,177,91,右,左,捕手,
広島東洋カープ,62,清水　叶人,2004.07.06,176,92,右,左,捕手,
広島東洋カープ,64,髙木　翔斗,2003.08.12,188,93,右,右,捕手,
広島東洋カープ,0,勝田　成,2003.06.21,163,70,右,左,内野手,
広島東洋カープ,4,矢野　雅哉,1998.12.16,171,72,右,左,内野手,
広島東洋カープ,5,小園　海斗,2000.06.07,178,92,右,左,内野手,
広島東洋カープ,7,堂林　翔太,1991.08.17,184,94,右,右,内野手,
広島東洋カープ,10,佐々木　泰,2002.12.24,178,86,右,右,内野手,
広島東洋カープ,33,菊池　涼介,1990.03.11,171,71,右,右,内野手,
広島東洋カープ,44,林　晃汰,2000.11.16,181,100,右,左,内野手,
広島東洋カープ,49,渡邉　悠斗,2002.07.07,182,100,右,右,内野手,
広島東洋カープ,54,西川　篤夢,2007.12.28,184,77,右,左,内野手,
広島東洋カープ,58,仲田　侑仁,2005.07.31,187,103,右,右,内野手,
広島東洋カープ,63,内田　湘大,2004.09.22,183,97,右,右,内野手,
広島東洋カープ,69,辰見　鴻之介,2000.11.24,176,67,右,右,内野手,
広島東洋カープ,93,前川　誠太,2003.04.04,176,66,右,右,内野手,
広島東洋カープ,94,佐藤　啓介,2001.05.24,182,93,右,左,内野手,
広島東洋カープ,95,モンテロ,1998.08.17,190,106,右,右,内野手,
広島東洋カープ,99,二俣　翔一,2002.10.21,180,78,右,右,内野手,
広島東洋カープ,9,秋山　翔吾,1988.04.16,186,86,右,左,外野手,
広島東洋カープ,37,野間　峻祥,1993.01.28,182,87,右,左,外野手,
広島東洋カープ,51,平川　蓮,2004.03.31,187,93,右,左右,外野手,
広島東洋カープ,52,末包　昇大,1996.05.27,188,108,右,右,外野手,
広島東洋カープ,56,久保　修,2000.09.29,181,83,右,右,外野手,
広島東洋カープ,59,大盛　穂,1996.08.31,179,84,右,左,外野手,
広島東洋カープ,60,田村　俊介,2003.08.25,178,95,左,左,外野手,
広島東洋カープ,61,ファビアン,1998.03.06,180,92,右,右,外野手,
広島東洋カープ,92,名原　典彦,2000.06.24,182,82,右,右,外野手,5/21 育成選手から支配下選手へ移行
広島東洋カープ,96,中村　奨成,1999.06.06,181,89,右,右,外野手,
広島東洋カープ,97,中村　貴浩,2000.04.09,177,87,右,左,外野手,
横浜DeNAベイスターズ,11,東　克樹,1995.11.29,170,80,左,左,投手,
横浜DeNAベイスターズ,12,竹田　祐,1999.07.05,184,96,右,右,投手,
横浜DeNAベイスターズ,13,伊勢　大夢,1998.03.07,183,94,右,右,投手,
横浜DeNAベイスターズ,14,石田　健大,1993.03.01,180,85,左,左,投手,
横浜DeNAベイスターズ,15,島田　舜也,2003.04.30,185,95,右,右,投手,
横浜DeNAベイスターズ,16,大貫　晋一,1994.02.03,181,76,右,右,投手,
横浜DeNAベイスターズ,18,小園　健太,2003.04.09,185,90,右,右,投手,
横浜DeNAベイスターズ,19,山﨑　康晃,1992.10.02,179,88,右,右,投手,
横浜DeNAベイスターズ,20,坂本　裕哉,1997.07.28,181,88,左,左,投手,
横浜DeNAベイスターズ,22,入江　大生,1998.08.26,187,90,右,右,投手,
